t,Potential,Kinetic,Total,Virial
481000,417.786,7467.46,7885.25,130565
482000,633.268,7251.67,7884.94,136451
483000,437.293,7447.7,7884.99,131380
484000,537.431,7347.67,7885.1,134051
485000,602.204,7282.83,7885.03,135793
486000,682.145,7202.83,7884.98,137547
487000,347.897,7536.92,7884.82,128421
488000,255.092,7630.03,7885.13,125835
489000,543.489,7341.66,7885.15,133616
490000,631.477,7253.5,7884.98,136260
491000,566.971,7318.07,7885.04,134883
492000,595.491,7289.5,7884.99,135767
493000,559.222,7325.8,7885.03,134766
494000,725.143,7159.98,7885.12,139030
495000,783.88,7101.07,7884.95,140415
496000,534.517,7350.42,7884.94,133693
497000,606.985,7278.08,7885.07,135583
498000,651.615,7233.46,7885.07,137007
499000,765.196,7119.84,7885.03,139931
500000,624.056,7260.85,7884.91,135900
501000,533.6,7351.42,7885.02,133067
502000,540.729,7344.21,7884.94,132967
503000,373.19,7511.79,7884.98,128587
504000,437.701,7447.35,7885.05,130491
505000,595.051,7290.07,7885.12,135310
506000,788.939,7096.08,7885.02,141059
507000,609.289,7275.66,7884.95,136639
508000,635.416,7249.64,7885.05,137382
509000,843.95,7041.18,7885.13,142994
510000,857.197,7027.73,7884.92,143434
511000,667.7,7217.23,7884.92,138349
512000,524.351,7360.64,7884.99,134428
513000,545.326,7339.72,7885.04,134920
514000,597.85,7287.2,7885.05,136387
515000,706.447,7178.67,7885.12,139483
516000,722.395,7162.52,7884.92,139989
517000,607.286,7277.76,7885.04,136735
518000,600.707,7284.25,7884.96,136099
519000,462.605,7422.35,7884.95,131947
520000,356.209,7528.85,7885.06,128878
521000,643.86,7241.31,7885.17,136519
522000,680.027,7204.91,7884.94,137803
523000,588.868,7296.14,7885.01,135488
524000,634.369,7250.67,7885.04,136628
525000,594.479,7290.49,7884.98,135443
526000,554.193,7330.83,7885.02,134217
527000,618.863,7266.22,7885.09,135932
528000,757.638,7127.48,7885.11,139851
529000,884.296,7000.67,7884.97,143299
530000,695.922,7189,7884.93,138186
531000,571.314,7313.69,7885,134685
532000,619.491,7265.59,7885.08,136024
533000,725.887,7159.18,7885.07,138979
534000,727.411,7157.52,7884.93,139110
535000,636.581,7248.46,7885.05,136842
536000,705.738,7179.28,7885.02,138574
537000,649.2,7235.79,7884.99,136888
538000,504.279,7380.58,7884.86,132741
539000,363.459,7521.64,7885.09,128856
540000,472.539,7412.5,7885.04,131795
541000,602.81,7282.4,7885.2,135641
542000,813.88,7071.13,7885.01,141391
543000,599.235,7285.69,7884.92,135550
544000,465.213,7419.81,7885.02,131638
545000,508.454,7376.6,7885.06,132570
546000,489.974,7395.06,7885.04,132153
547000,452.457,7432.55,7885.01,131305
548000,502.86,7382.19,7885.05,132637
549000,448.716,7436.35,7885.07,131290
550000,537.432,7347.62,7885.05,133671
551000,468.025,7416.99,7885.01,131914
552000,500.115,7384.95,7885.06,132648
553000,407.355,7477.65,7885.01,130128
554000,402.976,7482.1,7885.07,129902
555000,437.088,7447.96,7885.05,130808
556000,485.837,7399.29,7885.13,132247
557000,716.661,7168.46,7885.13,138333
558000,611.912,7273.06,7884.97,135380
559000,428.074,7456.87,7884.95,130040
560000,280.478,7604.6,7885.08,125981
561000,585.888,7299.38,7885.27,134415
562000,910.741,6974.35,7885.09,143505
563000,799.216,7085.71,7884.92,140806
564000,733.899,7151.24,7885.14,139392
565000,879.186,7005.88,7885.07,143639
566000,881.633,7003.37,7885,143849
567000,704.863,7180.08,7884.95,138931
568000,521.442,7363.5,7884.94,133536
569000,374.392,7510.6,7885,129119
570000,364.59,7520.49,7885.08,128476
571000,361.313,7523.7,7885.01,128183
572000,383.566,7501.5,7885.06,128752
573000,289.627,7595.38,7885,126437
574000,368.956,7516.21,7885.17,128675
575000,522.164,7362.91,7885.08,132864
576000,412.453,7472.54,7884.99,130157
577000,416.243,7468.86,7885.1,130466
578000,591.935,7293.26,7885.19,135530
579000,749.574,7135.42,7884.99,139961
580000,608.493,7276.53,7885.02,136189
581000,433.621,7451.36,7884.98,131350
582000,364.403,7520.61,7885.02,129366
583000,423.457,7461.72,7885.17,130963
584000,582.303,7302.79,7885.09,135209
585000,612.908,7272.23,7885.14,136036
586000,719.045,7166.01,7885.06,138557
587000,493.029,7391.88,7884.92,132260
588000,388.322,7496.79,7885.12,129457
589000,674.098,7211.13,7885.23,137427
590000,790.7,7094.29,7884.99,140986
591000,691.665,7193.36,7885.03,138557
592000,665.178,7219.9,7885.07,137819
593000,668.683,7216.37,7885.06,137680
594000,495.131,7389.78,7884.92,132817
595000,376.197,7508.95,7885.13,129595
596000,616.496,7268.63,7885.13,135884
597000,550.628,7334.4,7885.03,134124
598000,524.129,7360.96,7885.09,133365
599000,578.297,7306.72,7885.02,134831
600000,516.04,7369.12,7885.16,133408
601000,716.775,7168.26,7885.04,138708
602000,531.31,7353.72,7885.03,133747
603000,533.69,7351.38,7885.07,133505
604000,539.651,7345.49,7885.15,133699
605000,758.943,7126.24,7885.18,139638
606000,630.661,7254.24,7884.9,136362
607000,494.903,7390.22,7885.12,132755
608000,587.41,7297.71,7885.12,135258
609000,667.892,7217.21,7885.1,137375
610000,619.978,7265.03,7885.01,135906
611000,445.713,7439.35,7885.07,131192
612000,555.102,7330.06,7885.16,134115
613000,787.586,7097.66,7885.25,140522
614000,776.732,7108.19,7884.92,140424
615000,552.864,7332.19,7885.05,134569
616000,611.073,7274.02,7885.1,136060
617000,571.01,7314.01,7885.02,134910
618000,421.782,7463.26,7885.04,130908
619000,495.477,7389.7,7885.18,132936
620000,777.47,7107.76,7885.23,140567
621000,847.766,7037.23,7885,142467
622000,760.807,7124.24,7885.05,139882
623000,654.51,7230.48,7884.99,136629
624000,448.952,7436.02,7884.98,130881
625000,379.926,7505.19,7885.11,129152
626000,562.594,7322.6,7885.19,134481
627000,750.374,7134.68,7885.06,139948
628000,648.713,7236.29,7885,137601
629000,633.248,7251.83,7885.08,137013
630000,564.733,7320.17,7884.9,134666
631000,380.316,7504.72,7885.03,129431
632000,527.247,7357.91,7885.16,133358
633000,724.058,7161.09,7885.15,138901
634000,884.098,7000.91,7885.01,143082
635000,589.083,7295.81,7884.9,135021
636000,493.227,7391.79,7885.01,132071
637000,457.5,7427.54,7885.04,131048
638000,566.857,7318.19,7885.04,133899
639000,402.353,7482.56,7884.91,129460
640000,266.257,7618.82,7885.07,125817
641000,406.868,7478.28,7885.15,129751
642000,549.537,7335.56,7885.09,133829
643000,598.118,7286.96,7885.08,135339
644000,569.144,7315.89,7885.04,134893
645000,613.975,7271.13,7885.11,136456
646000,734.274,7150.82,7885.09,139875
647000,738.351,7146.65,7884.99,140014
648000,656.616,7228.47,7885.09,137852
649000,730.827,7154.19,7885.01,139711
650000,668.177,7216.87,7885.03,137960
651000,714.159,7170.92,7885.08,138926
652000,594.598,7290.38,7884.98,135432
653000,533.854,7351.14,7884.99,133414
654000,434.498,7450.53,7885.03,130657
655000,525.183,7359.94,7885.12,133124
656000,655.313,7229.75,7885.06,136675
657000,583.696,7301.3,7885,134626
658000,429.24,7455.6,7884.84,129981
659000,81.5826,7803.4,7884.99,120509
660000,281.171,7604.06,7885.23,125946
661000,587.285,7297.83,7885.12,134443
662000,526.959,7357.99,7884.95,133237
663000,518.583,7366.56,7885.14,133357
664000,578.317,7306.65,7884.96,135068
665000,437.555,7447.47,7885.03,131354
666000,499.923,7385.23,7885.15,132994
667000,617.487,7267.56,7885.04,136144
668000,556.463,7328.55,7885.01,134475
669000,510.417,7374.65,7885.08,133148
670000,703.861,7181.31,7885.17,138342
671000,870.042,7014.99,7885.03,142810
672000,703.87,7181.05,7884.93,138062
673000,440.676,7444.28,7884.97,130707
674000,455.163,7430.01,7885.17,131156
675000,713.156,7171.95,7885.11,138152
676000,575.797,7309.1,7884.89,134510
677000,377.091,7507.95,7885.04,129014
678000,341.896,7543.11,7885,127902
679000,385.072,7500.09,7885.17,129229
680000,608.08,7277.05,7885.13,135523
681000,685.436,7199.62,7885.06,137883
682000,611.73,7273.27,7885,135895
683000,590.007,7295.06,7885.07,135049
684000,638.936,7246.17,7885.11,136218
685000,740.477,7144.56,7885.04,139004
686000,788.17,7096.96,7885.13,140474
687000,850.706,7034.32,7885.03,142235
688000,775.735,7109.23,7884.97,140180
689000,575.677,7309.25,7884.93,134585
690000,375,7510.01,7885.01,128977
691000,438.598,7446.55,7885.15,130631
692000,629.944,7255.16,7885.1,135839
693000,677.584,7207.41,7885,137180
694000,555.85,7329.18,7885.03,134000
695000,478.425,7406.62,7885.05,132020
696000,569.636,7315.44,7885.09,134406
697000,485.099,7399.87,7884.97,132001
